"nom","adresse","codepostal","ville","mail","www","telephone","type","convetionnement","licence","reseaux","activite_aidecreation","activite_diffusion","activite_actionculturelle","aidecreation_preachat","aidecreation_coprod","aidecreation_residence","diffusion_festival","diffusion_festival_nom","diffusion_total","diffusion_jp","diffusion_0_3ans","diffusion_3_6ans","diffusion_6_12ans","diffusion_12ans","diffusion_places_jp","diffusion_departement","diffusion_epci","diffusion_commune","actionculturelle_scolaire","actionculturelle_periscolaire","actionculturelle_extrascolaire","actionculturelle_departement","actionculturelle_epci","actionculturelle_commune","coords__001","coords__002"
"Centre Chorégraphique National de Nantes","23 rue noire","44000","NANTES","p.tessiertalon@ccnn.fr","http://www.ccnnantes.fr","0240933097","Centre Chorégraphique National","","1-1087797 2-1087798 3-1087799","PlatO - Plateforme jeune public des Pays de la Loire","Non","Oui","Oui","0","0","0","Non","","9","5","0","2","3","0","1630","44","244400404","44109","Oui","Non","Non","44","244400404","44109","47.2265068","-1.5621005"
"Association Les Escales","23 rue d'Anjou","44600","SAINT NAZAIRE","cmathieu@les-escales.com","http://www.levip-saintnazaire.com/","0251100000","SMAC/FESTIVAL","","1-1098761 2-1098762 3-1098763","","Oui","Oui","Oui","0","1","0","Non","","40","4","0","1","3","0","700","44","244400644","44013 44184","Oui","Non","Non","44","244400644","44184","47.28284","-2.2093571"
"Un Deux Un Deux","11 ROUTE DE SAINTE-FLAIVE, BOURGCHOLET","85150","LANDERONDE","marion@undeuxundeux.com","http://www.undeuxundeux.com","0630485506","Association","","2-1098780 3-1098781","","Non","Non","Non","0","0","0","Non","","0","0","0","0","0","0","0","","","","Non","Non","Non","","","","46.658873","-1.571327"
"Scènes de Pays (service culture de Mauges Communauté)","Rue Robert Schuman – La Loge - Beaupréau","49600","Beaupréau-en-Mauges","scenesdepays@maugescommunaute.fr","http://www.scenesdepays.fr","0241753834","Scène conventionnée","Art en territoire","2-1108017 3-1108018","PJP49","Oui","Oui","Oui","6","2","2","Non","","51","18","0","9","4","5","14387","49","200060010","49023 49069 49092 49218 49244 49301","Oui","Oui","Oui","49","200060010","49023 49069 49092 49218 49244 49301","47.210055","-0.982094"
"Théâtre de l’Échappée","Quartier Ferrié / 30 rue Henri Géret","53000","LAVAL","francoisbechu@theatrelechappee.com","http://www.theatrelechappee.com","0608770651","Association","","2-1015785 3-1075786","","Non","Oui","Oui","0","0","0","Oui","Quinzaine","34","10","10","5","2","2","1450","53","245300306","53137","Oui","Non","Oui","53","245300330","53130","48.079071","-0.784373"
"Mayenne Culture","84 avenue Robert Buron - CS 21429","53014","LAVAL","contact@mayenneculture.fr","http://www.mayenneculture.fr","0243676090","agence départementale","","","","Non","Oui","Oui","0","0","0","Non","","13","2","0","0","2","0","470","53","200033298 200042182 200048551 200055887 245300223 245300306 245300330 245300355 245300389 245300447","","Oui","Non","Non","53","200033298 200042182 200048551 200055887 245300223 245300306 245300330 245300355 245300389 245300447","","48.074488","-0.762219"
"Un Singe En Été","7 place Juhel","53100","Mayenne","info@tribufamilia.fr","http://www.unsingeenete.com","0243304025","Festival","","2-1110443 3-1110444","","Non","Oui","Oui","0","0","0","Non","","32","1","0","1","0","0","180","53","200055887","53147","Non","Non","Oui","53","200055887","","48.3025635","-0.619756111042693"
"Festival les Embuscades","58 place Tussenhausen BP 52","53230","Cossé le Vivien","","http://www.lesembuscades.fr","0243917963","Association","","2-1004734 3-100 4735","","Non","Oui","Oui","0","0","0","Oui","Les Embuscades pour les scolaires","0","3","0","0","0","0","0","53","200048551","53011 53058 53075 53077 53082 53088 53102 53128 53151 53186 53250","Oui","Oui","Non","53","200048551","","47.944931","-0.912623"
"MômoFestival","15 les champs roux","72610","OISSEAU LE PETIT","","http://kikloche.free.fr/momo2018/index2018.html","0652017393","Association Festivals en Pays de Haute Sarthe","","2-1048600 3-1085420","PÉCANS","Oui","Oui","Oui","0","0","0","Oui","MômoFestival","20","8","1","3","4","12","1600","72","200072700 200072718 246100663","72005 72138 72380 72334","Oui","Non","Oui","72","200072700","72029 72380","48.350744","0.090295"
"Les compagnons de la bertoche","217 rue de la bertinière","72000","LE MANS","compagnonsdelabertoche@gmail.com","http://","0671703537","compagnie","","2-1073252","","Non","Non","Oui","0","0","0","Non","","0","0","0","0","0","0","0","","","","Oui","Non","Oui","72","247200132","72181","47.9919747","0.215672"
"Centre socioculturel François Rabelais","1, place Victor Hugo","72560","Changé","culture@lerabelais.org","http://www.lerabelais.org","0243401304","Centre socioculturel","","1-145104 2-145105 3-145106","Réseau JP Sarthe Collectif Pays du môme","Non","Oui","Non","0","0","0","Oui","Festival Au Pays du Môme","24","7","1","2","4","0","2910","72","247200421","72058","N/A","N/A","N/A","","","","47.9859227","0.283297"
"L’Excelsior","18 rue Georges Bizet","72700","ALLONNES","","http://www.lexcelsior.fr","0243834515","Régie personnalisée","","1-1019449 1-1048568 2-1019450","Réseau JP Sarthe Collectif Pays du môme","Oui","Oui","Non","5","0","1","Non","","0","8","1","1","4","2","0","72","247200132","72003","N/A","N/A","N/A","","","","47.9701759","0.1618363"
"Association Mouillotins Animation et culture","1 c rue de bretagne","53540","Cuillé","mouillotins@gmail.com","http://www.mouillotins.fr","0954159408","association","","2-141752 3-141753","","Non","Oui","Non","0","0","0","Oui","Les Mouillos","3","3","0","2","1","0","1000","53","200048551","53250 53258","N/A","N/A","N/A","","","","47.97037","-1.1233347"
"Pazapa","35 rue de degré","72000","LE MANS","virna@cie-robinjuteau.com","http://www.cie-robinjuteau.com/","0666919054","compagnie danse contemporaine","","2-1043959 3-1043958","","N/A","N/A","N/A","0","0","0","N/A","","0","0","0","0","0","0","0","","","","N/A","N/A","N/A","","","","48.0148721","0.1832314"
"Fuzz’Yon","10 RUE PASTEUR","85005","LA ROCHE-SUR-YON","","http://www.fuzzyon.com","0251069770","Scène de musiques actuelles","","1-1004745 2-1004746 3-1004747","","Non","Oui","Oui","0","0","0","Non","","42","5","0","1","4","1","1405","85","248500589","85191","Oui","Oui","Oui","85","248500589","85191","46.6719116","-1.4300186"
"La Castelorienne","92, avenue Jean Jaures -Château-du-Loir","72500","MONTVAL-SUR-LOIR","","http://www.ville-chateauduloir.fr/","0243794797","Théâtre municipal","","1-1098817 1-1098818 2-1098819 3-1098820","Réseau JP Sarthe","non","Oui","Oui","0","0","0","Oui","Malice au pays","13","11","2","4","3","2","2530","","","72071","N/A","N/A","N/A","","","","47.6910963","0.4153333"
