"nom","annee","adresse","codepostal","ville","mail","www","reseaux","lieu_creation","lieu_diffusion","convention","structure_associee","creation","diffusion","diffusion_region","diffusion_france","diffusion_monde","diffusion_reseaux_sn","diffusion_reseaux_conv","diffusion_reseaux_ccn","diffusion_reseaux_cdn","diffusion_reseaux_thm","diffusion_reseaux_epci","diffusion_reseaux_centreculturel","diffusion_reseaux_mediatheque","diffusion_reseaux_autre","formesartistiques_theatre","formesartistiques_danse","formesartistiques_cirque","formesartistiques_musique","formesartistiques_marionette","formesartistiques_cinema","formesartistiques_theatreobjet","formesartistiques_autre","agecible_0_3ans","agecible_3_6ans","agecible_6_12ans","agecible_12ans","coords__001","coords__002"
"ANIMA COMPAGNIE","2012","31 ALLEE DU VIEUX SAINT LOUIS BP 1424","53014","Laval","animacompagnie53@gmail.com","http://www.animacompagnie.toile-libre.org","","Non","Non","Non","Non","0","0","50","50","0","Non","Non","Non","Non","Oui","Oui","Oui","Non","","Oui","Non","Non","Non","Non","Non","Non","","Non","Non","Non","Oui","48.072607","-0.773429"
"cie des arbres et des hommes","2003","La Bondie","53170","VILLIERS CHARLEMAGNE","desarbresetdeshommes@gmail.com","http://desarbresetdeshommes.org/","","Non","Non","Non","Non","2","2","0","0","0","Non","Non","Non","Non","Non","Non","Non","Non","","Non","Non","Non","Non","Non","Non","Non","","Non","Non","Non","Non","47.932789","-0.703264"
"Collectif Label Brut","2006","4 rue Horeau","53200","Chateau-Gontier","communication@labelbrut.fr","http://www.labelbrut.fr","Scènes d'Enfance - Assitej France Plato","Non","Non","Avec la DRAC","Le Carré, Scène nationale - Centre d'art contemporain de Château-Gontier","1","2","16","80","4","Oui","Oui","Non","Oui","Oui","Oui","Oui","Non","","Oui","Non","Non","Non","Oui","Non","Oui","","Non","Oui","Oui","Non","47.82871","-0.6975078"
"Compagnie Les Gamettes","1999","35 RUE DE DEGRE","72000","LE MANS","","http://compagnielesgamettes.jimdo.com","","Non","Non","Non","Non","2","4","100","0","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Non","Non","Non","Non","Oui","","Non","Oui","Oui","Non","48.0148721","0.1832314"
"COMPAGNIE ROBIN JUTEAU","1993","35 RUE DE DEGRÉ","72000","LE MANS","virna@cie-robinjuteau.com","http://www.cie-robinjuteau.com/","Réseau JP Sarthe","Non","Non","Non","Non","2","3","25","5","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","","Oui","Oui","Non","Non","Non","Non","Non","","Oui","Oui","Oui","Non","48.0148721","0.1832314"
"compagnie 7ème Acte","2008","35 rue de Degré - Bâtiment B - Appt 202","72000","LE MANS","compagnie7emeacte@orange.fr","http://www.compagnie7emeacte.fr","","Non","Non","Non","Non","1","5","75","25","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Non","Oui","Non","Oui","","Oui","Oui","Oui","Oui","48.0148721","0.1832314"
"Karine Jarry","2016","7 rue Letouzé","72100","Le Mans","karinja.rry@gmail.com","","","Oui","Non","Non","Non","2","2","100","0","0","Non","Non","Non","Non","Non","Non","Non","Non","Structures petite enfance","Non","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Non","Non","47.9871238","0.2077613"
"Barons Freaks","2012","Centre Artistique Intercommunal Jean Françaix","72120","Saint Calais","baronsfreaks@ammd.net","http://www.baronsfreaks.org","","Non","Non","Non","Non","1","1","90","10","0","Non","Oui","Non","Non","Oui","Oui","Oui","Non","","Non","Non","Non","Oui","Non","Oui","Non","","Non","Non","Oui","Non","47.926429","0.752134"
"Stéphanie Hauteville","2011","18 rue Joseph Julien Aleton","72220","Marigné-Laillé","stephanie.hauteville@gmail.com","","","Non","Non","Non","Non","3","2","100","0","0","Non","Non","Non","Non","Non","Oui","Non","Oui","Lieux patrimoniaux / Musées","Non","Non","Non","Non","Non","Non","Oui","Conte, dessin","Oui","Oui","Oui","Oui","47.8174614","0.339479"
"La Compagnie de Danse l'Eventail","1985","10 bis, avenue de Buckeburg","72300","Sablé sur Sarthe","eventail.lschafer@orange.fr","http://compagnie-eventail.com","","Oui","Non","Avec le Ministère de la Culture","Non","4","4","19","75","6","Oui","Oui","Non","Non","Oui","Oui","Oui","Oui","Lieux patrimoniaux / Musées\nSalles polyvalentes\nMilieu scolaire\nHôpitaux\nDans l’espace public","Oui","Oui","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Oui","47.8377314","-0.3437657"
"L'Arsenal d'apparitions","2004","34, rue d'Estournelles de Constant","72600","Mamers","larsenaldapparitions@gmail.com","http://www.larsenaldapparitions.fr","Enfance et musique","Non","Oui","Non","Non","2","6","74","25","1","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance","Oui","Non","Non","Oui","Non","Non","Non","Theâtre musical","Oui","Non","Oui","Oui","48.3495678","0.3659788"
"Betty BoiBrut'","2011","223 rue de la Touche","85270","Saint Hilaire de Riez","lucie@betty-boibrut.fr","http://www.betty-boibrut.fr","","Non","Non","Non","Non","1","0","40","60","0","Non","Non","Non","Non","Oui","Oui","Oui","Non","Dans l’espace public","Non","Non","Non","Non","Oui","Non","Oui","","Non","Oui","Non","Non","46.7182669","-1.9489168"
"Théâtre du Merle Blanc","1998","Chemin des fontaines","72400","Boessé Le Sec","","http://www.theatre-merle-blanc.com/","","NON","NON","Non","Non","2","4","30","68","2","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Mairie\nCentre socio-culturels\nCollectivités","Oui","Non","Non","Oui","Non","Non","Non","Conte","Non","Oui","Oui","Non","48.133025","0.567913"
"Théâtre Tout Terrain","2000","Vassé","72140","Rouessé-Vassé","ttt@asso-ttt.com","http://asso-ttt.com/","","Non","Non","Non","Non","0","4","90","10","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance\nCentre socio-culturels","Oui","Non","Non","Oui","Oui","Non","Non","Chant","Oui","Oui","Oui","Non","48.1593935","-0.1846447"
