"nom","annee","adresse","codepostal","ville","mail","www","reseaux","lieu_creation","lieu_diffusion","convention","structure_associee","creation","diffusion","diffusion_region","diffusion_france","diffusion_monde","diffusion_reseaux_sn","diffusion_reseaux_conv","diffusion_reseaux_ccn","diffusion_reseaux_cdn","diffusion_reseaux_thm","diffusion_reseaux_epci","diffusion_reseaux_centreculturel","diffusion_reseaux_mediatheque","diffusion_reseaux_autre","formesartistiques_theatre","formesartistiques_danse","formesartistiques_cirque","formesartistiques_musique","formesartistiques_marionette","formesartistiques_cinema","formesartistiques_theatreobjet","formesartistiques_autre","agecible_0_3ans","agecible_3_6ans","agecible_6_12ans","agecible_12ans","coords__001","coords__002"
"Filtandem","2010","12 rue de la ruette","44300","Nantes","","http://www.theatreducyclope.com/nos-creations/","","Oui","Oui","Non","Théâtre du Cyclope","3","3","95","5","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Centres de loisirs\nThéatres privés\nMaisons de quartiers","Oui","Non","Non","Non","Oui","Non","Non","","Oui","Oui","Non","Non","47.2323162","-1.5095437"
"Duozozic","2010","13 bis rue du moulin","44610","Indre","duozozic@gmail.com","http://duozozic.fr","","Non","Non","Non","","1","1","10","20","0","Non","Non","Non","Non","Non","Non","Non","Non","Mairies\nMilieu scolaire\nCentre de loisirs","Non","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.1980346","-1.6521236"
"Compagnie Comptoirs Du Rêve","2014","14 rue de l'arche sèche","44000","Nantes","contact@comptoirsdureve.fr","http://www.comptoirsdureve.fr","","Non","Non","Non","","3","3","60","100","0","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","Structures petite enfance","Oui","Non","Non","Oui","Non","Non","Oui","","Oui","Oui","Non","Non","47.2172458","-1.5579999"
"Compagnie Za!","2017","15 Quai Ernest Renaud","44000","Nantes","compagnie.za@gmail.com","http://compagnie-za.com","","Non","Non","Non","Théâtre pour Deux Mains","2","2","0","70","30","Non","Oui","Non","Non","Oui","Non","Oui","Oui","Festivals","Oui","Non","Non","Non","Oui","Non","Oui","","Non","Non","Oui","Non","47.2066206","-1.5738962"
"Compagnie De L'Être Ange - Joan Vince","1996","16 bis rue de Veillevigne","44140","Aigrefeuille-sur-Maine","joan.vince@free.fr","http://letreange.com","","Non","Non","Non","Cie la Tribouille","3","3","50","50","0","Non","Non","Non","Non","Non","Oui","Non","Oui","","Oui","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","47.075637","-1.399468"
"Théâtre De L'Équinoxe","1993","16 rue du Docteur Coignard","49300","Cholet","theatre.equinoxe@wanadoo.fr","http://www.theatrequinoxe.com","","Oui","Non","Non","","1","1","100","0","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Salles polyvalentes","Oui","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.063515","-0.876697"
"Les Tombés De La Lune","2008","2 rue Alfred Marchand","72400","La Ferté-Bernard","tombesdelalune@gmail.com","http://www.jerome-come.com/","PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","3","4","50","50","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Salon du livre","Oui","Non","Non","Non","Non","Non","Non","Arts plastiques","Non","Non","Oui","Non","48.1847897","0.6531346"
"Structure : Les Boites Sauvages (coopérative Oz)- Nom D'Artiste: Lulla (collectif Lullabox)","2016","2 rue Pilastre","49000","Angers","boitessauvages@gmail.com","http://www.lesboitessauvages.fr/","","Non","Non","Non","Coopérative Oz","1","1","3","0","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","","Non","Oui","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.479305","-0.544351"
"La Parenthèse / Christophe Garcia","2013","20 rue d'ANtioche","49100","Angers","christophe@la-parenthese.com","http://www.la-parenthese.com","","Non","Non","Non","Collégiale Saint Martin à Angers\nCentre Culturel René d'Anjou à Baugé-en-Anjou","3","3","20","40","40","Oui","Oui","Non","Non","Oui","Oui","Oui","Non","Lieux patrimoniaux / Musées","Oui","Oui","Non","Non","Non","Non","Non","","Non","Non","Oui","Oui","47.4737975","-0.532485"
"Digital Samovar","2010","23 bld de Chantenay - bloc 13","44100","Nantes","contact@digitalsamovar.com","http://www.digitalsamovar.com","","Non","Non","Non","","1","1","58","42","0","Non","Oui","Non","Non","Oui","Oui","Oui","Non","","Non","Non","Non","Non","Non","Non","Non","","Non","Non","Oui","Non","47.199555","-1.589319"
"Kokeshi","2008","23 rue du Calvaire","44000","Nantes","","http://www.compagniekokeshi.fr","PlatO - Plateforme jeune public des Pays de la Loire\nScène d'Enfance - Assitej France","Non","Non","Non","","1","3","52","48","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Non","Oui","Non","Non","Non","Non","Non","","Oui","Oui","Non","Non","47.2151495","-1.562241"
"Rekupertou","1999","28 av du général de Gaulle","44310","Saint-Colomban","rekupertou@yahoo.fr","http://www.rekupertou.com/","","Oui","Non","Non","","1","4","50","50","0","Non","Non","Non","Non","Non","Oui","Non","Oui","","Oui","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.0131346","-1.5733935"
"Compagnie Loba","2001","3 boulevard Daviers","49100","Angers","cieloba@cieloba.org","http://www.cieloba.org","PJP 49\nPlatO - Plateforme jeune public des Pays de la Loire\nScène d'Enfance - Assitej France","Oui","Non","Oui","La Maison du conte (Chevilly-Larue – 94)\nScènes de Pays dans les Mauges (Beaupréau-en-Mauges – 49)","1","4","15","85","0","Oui","Oui","Non","Oui","Oui","Oui","Oui","Non","Festivals","Oui","Non","Non","Non","Non","Non","Non","","Non","Oui","Oui","Oui","47.4792425","-0.5604822"
"Hanoumat Cie","1994","3 boulevard Daviers","49100","Angers","administration@hanoumat.com","http://www.hanoumat.com","","Non","Non","Non","SAAS (Structures-artistes associés solidaires)","2","4","40","60","0","Oui","Oui","Oui","Non","Oui","Oui","Oui","Oui","","Non","Oui","Non","Non","Non","Non","Oui","","Oui","Oui","Oui","Non","47.4792425","-0.5604822"
"Cie Îlot 135","2015","3 Rue Baron","44000","Nantes","contact@ilot135.com","http://www.ilot135.com","","Non","Non","Non","","3","4","100","0","0","Non","Oui","Non","Non","Oui","Oui","Non","Oui","","Oui","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.2112161","-1.5475512"
"Paq'La Lune","1999","3, rue Eugène Thomas","44300","Nantes","contact@paqlalune.fr","http://www.paqlalune.fr/","","Non","Non","Non","","7","7","90","10","0","Non","Non","Non","Non","Non","Non","Non","Oui","Milieu scolaire\nIME","Oui","Non","Non","Non","Non","Non","Non","","Non","Oui","Oui","Oui","47.2616272","-1.5736368"
"Laurent Deschamps, Cie La Tête À Toto","1996","33 rue des Moulins","44190","Gétigné","","http://www.laurentdeschamps.com","","Non","Non","Non","","1","6","64","32","3","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu associatif","Oui","Non","Non","Oui","Oui","Non","Non","Conte","Oui","Oui","Oui","Non","47.0799269","-1.2557099"
"Paf Théâtre","2016","35 rue de degré","72000","Le Mans","paftheatre@gmail.com","http://paftheatre.fr","","Non","Oui","Non","","1","2","75","25","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","Milieu associatif\nMilieu scolaire\nFestivals","Oui","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Oui","48.0148721","0.1832314"
"Compagnie A Trois Branches","2009","35 rue de Degré Hall B","72000","Le Mans","atroisbranches@gmail.com","http://www.compagnieatroisbranches.fr","","Non","Non","Non","","1","4","90","10","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire\nStructures petite enfance\nHôpitaux","Oui","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Oui","48.0148721","0.1832314"
"Perenne Compagnie","1992","35 rue de degré, Hall B - appt 201","72000","Le Mans","contact@perenne-cie.org","https://compagnieperenne.jimdo.com/","","Non","Non","Non","","4","4","40","5","0","Non","Non","Non","Non","Non","Oui","Non","Oui","Bibliothèques / Médiathèques","Non","Non","Non","Non","Non","Non","Non","Lecture","Non","Oui","Oui","Non","48.0148721","0.1832314"
"Le Théâtre Du Zouave","2005","35 rue de Degré, Hall B, appt 201","72000","Le Mans","theatre_du_zouave@hotmail.fr","http://theatre-du-zouave.wix.com/compagnie","","Non","Non","Non","","1","4","70","30","0","Non","Non","Non","Non","Oui","Oui","Oui","Non","Milieu scolaire","Oui","Non","Non","Non","Non","Non","Non","","Non","Non","Oui","Oui","48.0148721","0.1832314"
"Les Artisans Rêveurs","2010","4 rue Gaston guillemet","85200","Fontenay-le-Comte","contact@lesartisansreveurs.com","http://www.lesartisansreveurs.com","","Non","Non","Non","","2","2","10","0","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Oui","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","46.467582","-0.8053835"
"Compagnie Du Moulin À Paroles","1997","40 Levée de la Divatte","44450","Saint-Julien-de-Concelles","","","","Non","Non","Non","","2","4","50","50","0","Non","Non","Non","Non","Non","Non","Oui","Oui","","Oui","Non","Oui","Oui","Oui","Non","Non","","Oui","Oui","Oui","Non","47.2626709","-1.4193216"
"Compagnie Pic À Son","2013","6 rue de l'Arche","72100","Le Mans","cie.picason@gmail.com","http://ciepicason.wix.com/cie-picason","","Oui","Non","Non","","1","1","50","50","0","Non","Oui","Non","Non","Non","Oui","Oui","Oui","","Oui","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","48.002631","0.210895"
"Cie Al Et Les Astrolobi","2008","51 rue de la bourdonnais","44100","Nantes","","https://www.astrolobi.com","","Non","Non","Non","","3","6","45","40","15","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Dans l’espace public","Oui","Oui","Oui","Non","Oui","Non","Oui","","Oui","Oui","Oui","Non","47.2061576","-1.5827199"
"Lefeuvre Annie","1968","52 ter rue du levant","72000","Le Mans","ylefeuvre@gmail.com","http://www.yannicklefeuvre-conteur.fr","","Oui","Non","Non","Theâtre du Passeur","3","3","100","0","0","Non","Non","Non","Non","Non","Oui","Non","Non","Théâtre privé","Oui","Non","Non","Oui","Non","Non","Non","Conte","Oui","Oui","Oui","Oui","48.0091026","0.211138"
"Compagnie Les 3t","2002","58 boulevard du Doyenné","49100","Angers","lestroist@cegetel.net","http://www.compagnielestroist.com","","Non","Non","Non","SAAS (Structures-artistes associés solidaires)","1","4","84","16","0","Non","Non","Non","Oui","Oui","Oui","Oui","Oui","Milieu Associatif\nChez l’habitant\nMaison de quartier\nMilieu scolaire\nLieux patrimoniaux / Musées","Oui","Oui","Non","Non","Oui","Non","Oui","","Oui","Oui","Oui","Oui","47.48825175","-0.536962030476976"
"Les Mauvaises Herbes","2016","58 rue de l'Ermitage","53000","Laval","lesmauvaisesherbes16@gmail.com","","PlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","1","0","0","0","0","Oui","Oui","Non","Non","Oui","Non","Oui","Non","","Non","Non","Non","Non","Non","Non","Oui","","Non","Non","Oui","Non","48.0775241","-0.7738113"
"Crock'Notes","1995","6 Place de l'Eglise","49125","Briollay","crock.notes.asso@gmail.com","http://laboxajac.wixsite.com/jeunepubliclaboxajac","RAMDAM","Non","Non","Non","","2","2","15","2","0","Non","Non","Non","Non","Oui","Oui","Oui","Oui","","Non","Non","Non","Oui","Non","Non","Non","","Non","Oui","Non","Non","47.564311","-0.509945"
"Cirque D'Anges Heureux","1998","7 rue du lavoir","72440","Tresson","cirquedangesheureux@orange.fr","http://www.cirquedangesheureux.com","","Oui","Oui","Non","","1","2","60","40","0","Non","Non","Non","Non","Non","Oui","Oui","Non","Festivals","Oui","Oui","Oui","Non","Non","Non","Oui","Chant","Non","Oui","Oui","Oui","47.9030698","0.5760695"
"Jalynka (karine Jarry)","2015","7 rue letouze","72100","Le Mans","karinja.rry@gmail.com","","","Oui","Non","Non","","2","1","35","10","0","Non","Non","Non","Non","Non","Non","Non","Non","Milieu scolaire\nStructures petite enfance","Non","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","47.9871238","0.2077613"
"Compagnie 4 À Corps","2007","71 bd Aristide Briand Pôle associatif, n°122","85000","La Roche-sur-Yon","compagnie4acorps@gmail.com","http://www.compagnie4acorps.fr","","Non","Non","Non","","1","2","70","0","30","Non","Non","Non","Non","Non","Oui","Non","Non","Festivals","Non","Oui","Non","Non","Non","Non","Non","","Oui","Oui","Oui","Non","46.670675","-1.43186"
"Compagnie Grizzli","1990","71 bd Aristide Briand, Pôle associatif, n°67","85000","La Roche-sur-Yon","theatre.grizzli@wanadoo.fr","http://www.theatre-grizzli.fr/","Scène d'Enfance - Assitej France","Non","Non","Non","","1","2","100","0","0","Oui","Non","Non","Non","Oui","Oui","Oui","Non","Milieu associatif","Oui","Non","Non","Non","Oui","Non","Oui","","Non","Non","Oui","Oui","46.670675","-1.43186"
"Pirate","1988","71 bd Aristide Briand","85000","La Roche-sur-Yon","compagnie.pirate@gmail.com","http://www.compagnie.pirate.fr","","Oui","Oui","Non","","1","2","38","62","0","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Oui","Non","Non","Non","Arts plastiques","Non","Oui","Oui","Non","46.670476","-1.4318640094277"
"Hellet Ludovic","2010","8 rue du granit","85170","Saint-Denis-la-Chevasse","ludo.hellet@hotmail.fr","","","Non","Non","Non","","4","2","60","35","5","Non","Non","Non","Non","Oui","Oui","Non","Oui","Chez l’habitant\nMilieu associatif","Non","Non","Non","Oui","Non","Non","Non","","Oui","Oui","Oui","Non","46.8242664","-1.3546346"
"Ludovic Hellet","2009","8 rue du granit","85170","Saint-Denis-la-Chevasse","ludo.hellet@hotmail.fr","","","Non","Non","Non","","2","2","80","0","20","Non","Non","Non","Non","Non","Oui","Non","Oui","","Non","Non","Non","Oui","Non","Non","Non","Conte","Oui","Oui","Non","Non","46.8242664","-1.3546346"
"Niouton'Théâtre","2009","Association Poisson Pilote, Bloc 13, 23 bd de Chantenay","44100","Nantes","associationpoissonpilote@gmail.com","http://www.nioutontheatre.fr","","Non","Non","Non","Association Poisson Pilote","1","2","100","0","0","Non","Non","Non","Non","Oui","Non","Oui","Non","","Non","Non","Non","Non","Oui","Non","Non","","Non","Non","Oui","Non","47.197051","-1.589454"
"Théâtre Cabines","2005","Association Poisson Pilote, Bloc 13, 23 bd de Chantenay","44100","Nantes","remilelong@gmail.com","http://www.theatrecabines.fr","","Non","Non","Non","Association Poisson Pilote","2","3","91","8","1","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu associatif\nMilieu scolaire","Oui","Non","Non","Non","Oui","Non","Oui","","Non","Non","Oui","Oui","47.197051","-1.589454"
"Cie Lili Desastres","","ATH associés / Les Fresnaies / 61-63 rue de la Paperie","49124","Saint-Barthélemy-d'Anjou","diffusion.lilidesastres@gmail.com","","","Non","Non","Non","","1","4","22","19","6","Oui","Oui","Non","Non","Non","Oui","Oui","Oui","","Oui","Non","Non","Non","Non","Non","Oui","","Oui","Oui","Non","Non","47.459492","-0.509126"
"T’atrium","2016","Centre de rencontres rue du haut bourg","53940","Saint-Berthevin","administration@tatrium.com","http://www.tatrium.com","PlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Non","Ville de Saint-Berthevin","2","2","6","21","0","Non","Oui","Non","Non","Oui","Oui","Oui","Non","","Oui","Non","Non","Non","Non","Non","Non","","Non","Non","Oui","Oui","48.067274","-0.830054"
"Cie Tétrofort","2009","Association Les Gamettes, 35 rue de Degré","72000","Le Mans","tetrofort@aol.com","http://www.tetrofort.com","","Non","Non","Non","","1","2","50","50","0","Non","Oui","Non","Non","Non","Oui","Oui","Oui","Festivals","Oui","Non","Non","Non","Non","Non","Non","","Non","Oui","Oui","Non","48.0148721","0.1832314"
"Cie Isaurel","2009","Domaine culturel, Saint-Lézin","49120","Chemillé-en-anjou","isaurel.cie@gmail.com","http://www.isaurel.com","Enfance et musique","Oui","Oui","Non","","1","1","35","56","9","Non","Non","Non","Non","Non","Oui","Oui","Oui","Réseau nature / environnement","Non","Oui","Oui","Non","Non","Non","Non","","Non","Non","Oui","Non","47.2518714","-0.773027601298696"
"Les 'Mister' De L'Ouest - Julien Poilvilain","2014","La Gilberdière","49150","Le Vieil Baugé","","http://www.lesmisterdelouest.fr","","Non","Non","Non","","1","0","7","5","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","Milieu scolaire","Oui","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.538123","-0.179189"
"La Cigale Spectacles","2018","le chêne beunard","72210","Voivres-lès-le-Mans","virginiepicard-lacigale@gmx.fr","","","Non","Non","Non","Théâtre de Chaoué","2","5","98","2","0","Non","Non","Non","Non","Non","Oui","Oui","Oui","","Oui","Non","Non","Non","Non","Non","Non","","Oui","Oui","Non","Non","47.924792","0.044419"
"Compagnie A Deux Mains","1995","le pin","85220","Coëx","la-caravane-magique@sfr.fr","http://www.la-caravane-magique.com","","Oui","Non","Non","","1","1","74","25","1","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Festival\nMilieu scolaire","Non","Non","Non","Non","Non","Non","Oui","Théâtre d'ombre","Non","Oui","Oui","Non","46.715912","-1.708393"
"Cie Resnonverba","2011","Le SAAS la cité des associations - 58 bd du Doyenné","49100","Angers","cie.r.n.v@gmail.com","https://ciernv.wixsite.com/resnonverba","","Non","Non","Non","","1","2","100","0","0","Non","Non","Non","Non","Oui","Oui","Oui","Non","","Non","Oui","Non","Non","Non","Non","Non","","Non","Oui","Non","Oui","47.488406","-0.537091"
"Cie T'Es Pas Mioche","2014","Le Silo","72100","Le Mans","tespasmioche@gmail.com","http://www.cietespasmioche.fr","","Non","Oui","Non","","1","1","20","80","0","Non","Non","Non","Non","Oui","Oui","Oui","Non","Entreprises","Oui","Oui","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","48.0050522","0.2061635"
"Créatures Compagnie","2001","Les Beaux Manteaux Sud","72610","Fyé","creatures.hj@gmail.com","http://cie.creatures.free.fr/","","Non","Non","Oui","","0","3","30","60","10","Non","Oui","Non","Non","Oui","Oui","Oui","Oui","","Oui","Non","Non","Non","Oui","Non","Oui","","Oui","Oui","Oui","Non","48.310753","0.075354"
"Compagnie Lily","2008","Mairie","72150","Saint-Vincent-du-Lorouër","compagnielily@gmail.com","http://www.compagnie-lily.org","PlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Non","","2","5","34","43","23","Non","Non","Non","Non","Oui","Oui","Oui","Oui","Milieu scolaire\nChez l’habitant\nBibliothèques / Médiathèques","Oui","Non","Non","Non","Oui","Non","Non","","Non","Oui","Oui","Oui","47.824916","0.487892"
"Bouskidou","1983","Productions hirsutes - 9 rue des olivettes","44000","Nantes","diffusion@productionshirsutes.com","https://www.productionshirsutes.com/","RAMDAM\nPlatO - Plateforme jeune public des Pays de la Loire","Oui","Non","Non","","2","2","65","35","0","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Festivals","Non","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.212566","-1.549816"
"Chel","2008","Productions hirsutes - 9 rue des olivettes","44000","Nantes","diffusion@productionshirsutes.com","https://www.productionshirsutes.com/","RAMDAM\nPlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","1","1","75","25","0","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Festivals","Non","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.212566","-1.549816"
"M. Charly","2009","Productions hirsutes - 9 rue des olivettes","44000","Nantes","diffusion@productionshirsutes.com","https://www.productionshirsutes.com/","RAMDAM\nPlatO - Plateforme jeune public des Pays de la Loire","Oui","Non","Non","","0","2","66","34","0","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Festivals","Non","Non","Non","Non","Non","Non","Non","Art de rue","Non","Oui","Oui","Non","47.212566","-1.549816"
"Marc Tetedoie","2018","Productions hirsutes - 9 rue des olivettes","44000","Nantes","diffusion@productionshirsutes.com","https://www.productionshirsutes.com/","RAMDAM\nPlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","1","0","0","0","0","Non","Non","Oui","Non","Oui","Oui","Oui","Non","","Non","Oui","Non","Non","Non","Non","Non","","Non","Oui","Oui","Non","47.212566","-1.549816"
"Poussins Phoniques","2016","Productions hirsutes - 9 rue des olivettes","44000","Nantes","diffusion@productionshirsutes.com","https://www.productionshirsutes.com/","RAMDAM\nPlatO - Plateforme jeune public des Pays de la Loire","Non","Non","Non","","1","1","64","36","0","Oui","Non","Non","Non","Oui","Oui","Oui","Oui","Festivals","Non","Non","Non","Oui","Non","Non","Non","","Non","Oui","Oui","Non","47.212566","-1.549816"
