"nom","adresse","codepostal","ville","www","mail","telephone","type","conventionnement","licence","reseaux","activite_aidecreation","activite_diffusion","activite_actionculturelle","aidecreation_preachat","aidecreation_coprod","aidecreation_residence","diffusion_festival","diffusion_festival_nom","diffusion_total","diffusion_jp","diffusion_0_3ans","diffusion_3_6ans","diffusion_6_12ans","diffusion_12ans","diffusion_places_jp","diffusion_departement","diffusion_epci","diffusion_commune","actionculturelle_scolaire","actionculturelle_periscolaire","actionculturelle_extrascolaire","actionculturelle_departement","actionculturelle_epci","actionculturelle_commune","notes","coords__001","coords__002"
"Le Kiosque - Centre D'Action Culturelle - Mayenne Communauté","7/9 Place Juhel - BP 50433","53104","Mayenne","http://www.kiosque-mayenne.org/","","0243301016","Association","","2-1022328\n3-1022330","PlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Oui","11","3","3","Oui","53 tours","21","10","2","3","2","3","3200","53","200055887","","Oui","Oui","Oui","53","200055887","","","48.30226","-0.619653"
"Le Livre Dans La Théière","6 place de la Mairie","85620","Rocheserviere","","lelivredanslatheiere@orange.fr","0251064835","Librairie","","","","Non","Non","Oui","","","","Non","","","","","","","","","","","","Oui","Non","Oui","85","200072882","","","46.9365","-1.512701"
"Le Quai - Cdn","17 rue de la tannerie","49000","Angers","http://lequai-angers.eu","","0244012256","Centre Dramatique National","","1-1024162\n2-1024163\n3-1024164","PJP 49","Oui","Oui","Oui","4","3","2","Oui","Le Beau Samedi","49","12","0","3","9","0","16560","49","244900015","","Oui","Non","Oui","49","244900015","","","47.4727565","-0.5656585"
"Le Théâtre, Scène Conventionnée De Laval","rue de la paix","53000","Laval","http://www.letheatre.laval.fr","","0779803215","Scène conventionnée","Arts de la marionnette et formes animées","","Collectif des médiateurs jeune public des Pays de la Loire\nPlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Oui","2","0","0","Non","","40","18","3","5","5","5","6000","53","245300330","53130","Oui","Oui","Oui","53","245300330","53130","","48.0709941","-0.7691566"
"Le Val'Rhonne","Allée de l'Europe","72330","Moncé-en-Belin","http://www.valrhonne.org/","valrhonne@wanadoo.fr","0243422948","Centre Socioculturel","","1-1087751\n2-1087776\n3-1087775","Collectif Pays du môme","Non","Oui","Non","","","","Non","","13","7","2","1","3","1","1700","72","247200447","72200","Non","Non","Non","","","","","47.8929673","0.2011817"
"Les Quinconces-L'Espal","4 place des Jacobins","72000","Le Mans","http://www.quinconces-espal.com","","0243502150","Scène nationale","","1-146369\n2-146370\n3-146371","Réseau JP Sarthe\nCollectif des médiateurs jeune public des Pays de la Loire\nPlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Oui","5","0","2","Oui","Festival en jeu !","52","8","0","1","5","2","8000","72","247200132","","Oui","Oui","Oui","72","247200132","72181","","48.0076541","0.1988369"
"Ligue De L'Enseignement De La Mayenne","31 allée du vieux saint louis","53000","Laval","http://www.laligue53.org","charlene.mur@laligue53.org","0252460127","Association","","2-1080632\n3-1080633","","Non","Oui","Non","","","","Non","","9","9","3","3","3","0","7500","53","245300306","","Non","Non","Non","","","","","48.0718691","-0.7733292"
"Mairie Des Sorinières","les sorinières","44840","Les Sorinières","http://www.ville-sorinieres.fr/","culture@ville-sorinieres.fr","0240130000","Commune","","1-1046937\n3-1046938","Réseau des programmateurs jeune public 44","Non","Oui","Oui","","","","Oui","Je sors mes parents","8","3","0","2","2","0","186","44","244400404","44198","Oui","Non","Oui","44","244400404","44198","","47.1485792","-1.5332052"
"Médiathèque Venansault","l'îlot des Arts - Place de la Billardière","85190","Venansault","http://mediatheque-venansault.blogspot.com/","","0251481936","Médiathèque","","","","Non","Non","Oui","","","","Non","","","","","","","","","","","","Oui","Oui","Oui","85","248500589","85300","","46.68498","-1.51145"
"Mjc Ronceray / L'Alambik","bd de la fresnellerie","72100","le Mans","http://www.mjc-ronceray.org","adeline.rousseau@mjc-ronceray.org","0243725222","Association","","1-1080609\n2-1080610\n3-1080611","Réseau JP Sarthe\nCollectif Pays du môme","Non","Oui","Oui","","","","Oui","Festimioches\nTout-petits et déjà grands","30","14","3","6","5","0","1800","72","247200132","72181","Oui","Oui","Oui","72","247200132","72181","","47.9699467","0.204411"
"Musique Et Danse En Loire-Atlantique","11 rue Jules Verne","44700","Orvault","http://www.musiqueetdanse44.asso.fr","contact@md44.asso.fr","0251843888","Association","","2-1110413\n3-1110414","","Non","Oui","Oui","","","","Non","","48","29","0","0","12","17","7875","44","244400644","","Oui","Non","Non","44","244400586","","","47.2529748","-1.6158712"
"Paus Vallée Du Loir","rue Anatole Carré","72500","Vaas","http://www.paysvalleeduloir.fr","alexandre.menard@pays-valleeduloir.fr","0243381673","Pays","","3-1054181","","Oui","Oui","Oui","4","2","2","Oui","Malices au Pays","18","10","1","6","2","1","5700","72","247200348","","Oui","Oui","Oui","72","247200348","","","47.6681999","0.3139872"
"Pays Du Mans","4O rue de la galère","72000","Le Mans","http://www.paysdumans.fr","patricia.chevalier@paysdumans.fr","0243512323","Pays","","","Collectif Pays du môme","Non","Non","Oui","","","","Non","","","","","","","","","","","","Oui","Oui","Oui","72","247200447","","","48.0062913","0.1929769"
"Petits Et Grands","9, rue des Olivettes","44000","Nantes","http://www.petitsetgrands.net","cyrille.planson@petitsetgrands.net","0621247344","Association","","","Scène d'Enfance - Assitej France\nLes Scènes appartagées","Oui","Oui","Oui","20","3","0","Oui","Festival Petits et Grands","42","42","18","14","10","0","12000","44","244400404","44109","Non","Non","Oui","44","244400404","44109","Le festival a lieu les années impaires. Ces données chiffrées concernent la saison 2016-2017","47.2123365","-1.5501326"
"Piano'Cktail","Rue Ginsheim Gustavsburg","44340","Bouguenais","http://www.pianocktail-bouguenais.fr","","0689321997","Théâtre municipal","","1-1108169\n2-1108170\n3-1108171","PlatO - Plateforme jeune public des Pays de la Loire","Non","Oui","Oui","","","","Non","","35","9","0","4","5","0","6700","44","244400404","44020","Oui","Non","Oui","44","244400404","44020","","47.1740111","-1.6097043"
"Saison Culturelle Du Mont Des Avaloirs","1 rue de la Corniche de Pail","53140","Pré-en-Pail-Saint-Samson","http://www.cc-montdesavaloirs.fr/la-saison-culturelle-de-la-ccma/","","0243301111","Communauté de communes","","3-1078378","","Non","Oui","Oui","","","","Oui","Spectacles en Chemin","13","7","1","2","3","3","2285","53","200042182","53271","Oui","Non","Oui","53","200042182","","","48.4566123","-0.2078357"
"Salle Vasse","18 rue Colbert","44000","Nantes","http://www.sallevasse.fr","info@sallevasse.fr","0240731260","Théâtre municipal","","","","Non","Oui","Non","","","","Oui","Festival pour enfants sages et pas seulement","80","25","1","4","5","15","6930","44","244400404","44109","Non","Non","Non","","","","","47.2156023","-1.5690889"
"Service Culturel De Challans","Hotel de Ville","85300","Challans","https://saisonculturelle.challans.fr/","","0251491899","Théâtre municipal","","1-1042062\n1-1042063\n1-1042064\n1-1042065\n1-1042066\n2-1042067\n3-1042068","","Oui","Oui","Oui","4","","2","Non","","23","11","0","2","6","4","3950","85","200071629","85047","Oui","Non","Oui","85","200071629","85047","","46.845009","-1.879335"
"Service Culturel Ville De Coulaines","Square Weyhe","72190","Coulaines","http://www.coulaines.fr","culture@coulaines.fr","0243743510","Commune","","1-1044012\n3-1041013","Réseau JP Sarthe","Non","Oui","Oui","","","","Non","","10","7","1","3","3","0","4890","72","247200421","72231","Oui","Non","Oui","72","247200132","72095","","48.0237602","0.2021867"
"Site Saint-Sauveur","Place Saint-Sauveur","85620","Rocheservière","http://www.sitesaintsauveur.fr","contact@sitesaintsauveur.fr","0251482356","Communauté de communes","","","","Non","Non","Oui","","","","Non","","","","","","","","","","","","Oui","Oui","Oui","85","200070233","","","46.9376985","-1.5097261"
"Théâtre De Chaoué","11 rue du moulin de Chaoué","72700","Allonnes","https://www.theatredechaoue.fr/","contact@theatredechaoue.fr","0243804008","Association","","","","Oui","Oui","Oui","2","4","6","Non","","21","4","1","3","3","10","800","72","247200132","72003","Oui","Oui","Oui","72","247200132","72003","","47.9724101","0.1658002"
"Théâtre De L'Ephémère","8 place des Jacobins","72000","Le Mans","http://www.theatre-ephemere.fr","contact@theatre-ephemere.fr","0243438989","Scène conventionnée","Art et création","","","Non","Oui","Oui","","","","Non","","12","1","0","0","0","1","1100","72","247200132","72181","Oui","Non","Oui","72","247200447","72181","","48.0073783","0.1989582"
"Théâtre De Thalie","Esplanade de Verdun","85600","Montaigu","http://www.thalie.terresdemontaigu.fr","","0251092090","Communauté de communes","","1-1036492\n3-1029667","","Non","Oui","Oui","","","","Oui","Mont'en Scène","30","7","0","2","3","2","4760","85","200070233","85146","Oui","Non","Non","85","200070233","85146","","46.9817211","-1.3082603"
"Théâtre Du Cyclope","82 rue du Maréchal Joffre","44000","Nantes","http://theatreducyclope.com","theatreducyclope@gmail.com","0251864507","Théâtre privé","","1-1090174\n2-1090175\n3-1090176","","Oui","Oui","Oui","","1","6","Oui","La chaussette de M. Joffre","58","12","1","3","8","46","7252","85","248500662","44127","Oui","Non","Oui","85","200040475","44068","","47.3018941","-1.5577515"
"Théâtre Épidaure","1 rue de la grosse pierre","72440","Bouloire","http://www.theatre-epidaure.com","","0243355604","Association","","1-1085541","Collectif des médiateurs jeune public des Pays de la Loire\nRéseau JP Sarthe\nPlatO - Plateforme jeune public des Pays de la Loire\nPÉCANS","Oui","Oui","Oui","6","1","6","Oui","Temps fort jeunes","15","11","1","1","7","2","4240","72","200072684","72090","Oui","Non","Oui","72","200072692","","","47.973539","0.554081"
"Théâtre ONYX - Ville De Saint Herblain","1, place Océane BP 30224","44815","Saint Herblain","http://www.theatreonyx.fr","","0228252501","Scène conventionnée","Danse et cirque","1-1087704\n1-1087705\n2-1087706\n3-1087707","Collectif des médiateurs jeune public des Pays de la Loire\nPlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Oui","20","3","4","Oui","Festival NIJINSKID","57","13","2","2","9","0","7786","44","244400404","","Oui","Non","Non","44","244400404","","","47.224004","-1.628445"
"Thv","1, rue Jean Gilles","49180","Saint-Barthélémy-d'Anjou","http://www.thv.fr","","0241961490","Théâtre municipal","","1-1029753\n2-1029754\n3-1029755","PJP 49\nPlatO - Plateforme jeune public des Pays de la Loire","Oui","Oui","Oui","3","2","2","Non","","42","9","1","4","4","0","2361","49","244900015","49267","Oui","Oui","Oui","49","244900015","49267","","47.4687573","-0.4959337"
"Villages En Scène","2, rue Jacques du Bellay","49380","Thouarcé","http://www.villages-en-scene.fr","programmation@villages-en-scene.fr","0241541207","Établissement public","","1-1108159\n2-1108160\n3-1108160","PJP 49","Oui","Oui","Oui","3","2","1","Non","","30","5","1","2","1","1","1600","49","200071553","","Oui","Non","Oui","49","200071553","","","47.2664933","-0.5012198"
"Ville D'Yvré L'Evêque, Service Culture","16, avenue Guy Bouriat","72530","Yvré l'Evêque","http://www.yvreleveque.fr","culture@yvreleveque.fr","0243896002","Commune","","1-1075855\n2-1075856\n3-1075857","Collectif Pays du môme","Non","Oui","Non","","","","Oui","Au Pays du Môme","13","8","5","2","1","0","860","72","247200132","72386","Non","Non","Non","","","","","48.0128261","0.2694379"
"Ville De Saint-Hilaire-De-Riez - Service Culturel","Place de l'église, BP 49","85270","Saint-Hilaire-de-Riez","http://www.sainthilairederiez.fr","","0251599400","Commune","","1-1085423\n2-1085430 \n3-1085431","","Non","Oui","Non","","","","Oui","La Fête Dans les Nuages","12","6","1","2","2","1","1620","85","200023778","85226","Non","Non","Non","","","","","46.7205","-1.945929"
